VISA	TITRE	RÉALISATEUR	GENRE	DEVIS
151297	Ducobu 3.0	SEMOUN Elie	fiction	8,961,205									
147033	Dune Dreams	DOUX Samuel	fiction	2,400,102									
148182	En mille morceaux	MERIADEC Véronique	fiction	173,141									
150129	En plein jour	HEURTIER MANZANARES Lysa	docu	95,846									
147045	Epoque (L')	BAREYRE Matthieu	docu	364,822									
137691	Etreinte (L')	BERGERY Ludovic	fiction	2,225,000									
149449	Fils (Le)	ABATUROV Alexander	docu	204,286									
151450	Gagarine	LIATARD Fanny / TROUILH Jérémy	fiction	2,837,609									
149815	Garçon chiffon	MAURY Nicolas	fiction	1,115,965									
150436	Garder ton nom	DUQUESNE Vincent	fiction	1,834,218									
144744	Grande déraille (La)	EUVRARD Benjamin	fiction	6,344,002									
150345	Ibrahim	GUESMI Samir	fiction	1,200,197									
149825	In The Bottle	VINSON Favio	fiction	544,867									
147585	Jack Garfein : the wild one	LOUISE-SALOME Tessa	docu	904,166									
144020	Je vois rouge	PANAYOTOVA Bojina	docu	176,932									
149864	Josep	FROMENT Aurélien	animation	2,695,826									
148659	La Paz	PINZON Tomas	docu	543,836									
147034	Lettres de la ville en désordre	DAULT Marie	docu	231,900									
149267	L'horizon	CARPENTIER Emilie	fiction	2,872,186									
149952	Maison de Cerbère (La)	TARRIUS Bruno	docu	163,427									
150709	Marcher sur l'eau	MAIGA Aissa	docu	979,692									
144802	Max Paradise ou les voies du seigneur	GROSSET Jean-Philippe	fiction	622,415									
149621	Médecin imaginaire (Le)	HAMIDI Ahmed	fiction	3,664,888									
149820	Méduse	LEVY Sophie	fiction	625,734									
150240	Meilleures (Les)	DESSEIGNE-RAVEL Marion	fiction	1,192,110									
137875	Mine de rien	MLEKUZ Mathias	fiction	2,227,447									
149166	Misérables (Les)	LY Ladj	fiction	2,089,942									
148032	Mor L'Bab	EL HABABI Yakout	docu	235,176									
143324	Mourir jeune	AUSSEL Emilie	fiction	333,853									
149281	Nuée (La)	PHILIPPOT Just	fiction	2,800,085									
140219	Nuit aux amants (La)	HILMOINE Julien	fiction	231,000									
149546	Opération Portugal	CIMIERE Franck	fiction	1,217,287									
151260	Origine du monde (L')	LAFITTE Laurent	fiction	6,829,960									
150991	Parques (Les)	DAUPHIN Charlotte	fiction	703,961									
150222	Petites danseuses	DOLIVET Anne-Claire	docu	328,426									
144510	Place des victoires	GUILLOUZOUIC Yoann	fiction	3,474,562									
138216	Playlist	ANTICO Nine	fiction	1,097,209									
150814	Princesse Europe	LOTTEAU Camille	docu	1,515,021									
151497	Reines de la nuit (Les)	SPIERO Christiane	docu	129,515									
151723	Seize printemps	LINDON Suzanne	fiction	406,157									
148017	Slalom	FAVIER Charlène	fiction	1,726,755									
149817	Sous le ciel d'Alice	MAZLO Chloé	fiction	2,853,000									
141503	Soy libre (ex : Arnaud)	PORTIER Laure	docu	387,422									
136513	Strip	FARRUCCI Frédéric	fiction	1,057,665									
